"Provincia","Sí, afiliado al SIS","Sí, afiliado al EsSalud","Sí, afiliado al seguro de fuerzas armadas o policiales","Sí, afiliado a seguro privado de salud","Sí, afiliado a otro seguro"
"Huancabamba",93748,6347,207,249,203
"Morropón",107944,24426,793,867,850
"Paita",59961,32569,860,1611,1054
"Sullana",158581,70516,4016,4595,3285
"Talara",51551,51121,1290,6675,2091
"Sechura",41264,11340,265,1625,669
"Puno",94906,48190,3826,1406,1087
"Azángaro",80683,7427,175,160,213
"Carabaya",48274,3354,55,131,127
"Chucuito",53647,4276,258,142,344
"El Collao",39235,4111,354,122,181
"Huancané",39234,3254,256,86,153
"Lampa",25906,4871,126,127,125
"Melgar",45405,7836,171,321,162
"Moho",14325,848,57,24,42
"San Antonio de Putina",18395,1231,126,115,123
"San Román",95169,49691,2051,1846,1840
"Sandia",35268,1757,90,77,78
"Yunguyo",19377,2061,156,79,80
"Moyobamba",77465,20996,1164,604,874
"Bellavista",42126,4339,136,168,134
"El Dorado",31172,1956,71,49,78
"Huallaga",21124,2796,165,48,59
"Lamas",66470,6570,255,206,249
"Mariscal Cáceres",44044,7971,392,259,327
"Picota",30344,3983,129,116,122
"Rioja",84997,13768,422,403,391
"San Martín",98822,52874,2758,3111,2325
"Tocache",41980,9646,1007,293,254
"Tacna",94275,76227,5186,5686,3904
"Candarave",3629,495,15,19,30
"Jorge Basadre",2315,3531,359,1338,231
"Tarata",3900,679,182,38,49
"Tumbes",87665,39865,3953,1695,815
"Contralmirante Villar",12402,4254,274,459,150
"Zarumilla",32122,5865,759,247,305
"Coronel Portillo",204158,73683,4449,4290,2347
"Atalaya",34792,3544,191,190,146
"Padre Abad",38039,4625,397,242,241
"Purús",2164,421,20,7,9
